index,frameID,groupID,x,y,w,h
9468,12597.0,796.0,334.54,169.45,118.58,26.67
9469,12597.0,771.0,370.34,153.64,44.69,59.08
9470,12597.0,799.0,15.49,116.35,167.58,165.87
9471,12598.0,796.0,334.54,169.45,118.58,26.67
9472,12598.0,771.0,370.34,153.64,44.69,59.08
9473,12598.0,799.0,15.49,116.35,167.58,165.87
9474,12599.0,796.0,334.54,169.45,118.58,26.67
9475,12599.0,771.0,370.34,153.64,44.69,59.08
9476,12599.0,799.0,15.49,116.35,167.58,165.87
9477,12600.0,796.0,334.54,169.45,118.58,26.67
9478,12600.0,771.0,370.34,153.64,44.69,59.08
9479,12600.0,799.0,15.49,116.35,167.58,165.87
9480,12601.0,796.0,334.54,169.45,118.58,26.67
9481,12601.0,771.0,370.34,153.64,44.69,59.08
9482,12601.0,799.0,15.49,116.35,167.58,165.87
9483,12602.0,796.0,334.54,169.45,118.58,26.67
9484,12602.0,771.0,370.34,153.64,44.69,59.08
9485,12602.0,799.0,15.49,116.35,167.58,165.87
9486,12603.0,796.0,334.54,169.45,118.58,26.67
9487,12603.0,771.0,370.34,153.64,44.69,59.08
9488,12603.0,799.0,15.49,116.35,167.58,165.87
9489,12604.0,796.0,334.54,169.45,118.58,26.67
9490,12604.0,771.0,370.34,153.64,44.69,59.08
9491,12604.0,799.0,15.49,116.35,167.58,165.87
9492,12605.0,796.0,334.54,169.45,118.58,26.67
9493,12605.0,771.0,370.34,153.64,44.69,59.08
9494,12605.0,799.0,15.49,116.35,167.58,165.87
