frameID,strength,trackID1,trackID2
3,0.1,2,3
3,0.1,2,4
3,0.1,3,2
3,0.1,3,4
3,0.1,4,2
3,0.1,4,3
4,0.1,2,3
4,0.1,2,4
4,0.1,3,2
4,0.1,3,4
4,0.1,4,2
4,0.1,4,3
5,0.1,2,3
5,0.1,2,4
5,0.1,3,2
5,0.1,3,4
5,0.1,4,2
5,0.1,4,3
6,0.1,2,3
6,0.1,2,4
6,0.1,3,2
6,0.1,3,4
6,0.1,4,2
6,0.1,4,3
7,0.1,2,3
7,0.1,2,4
7,0.1,2,6
7,0.1,3,2
7,0.1,3,4
7,0.1,3,6
7,0.1,4,2
7,0.1,4,3
7,0.1,4,6
7,0.1,6,2
7,0.1,6,3
7,0.1,6,4
8,0.1,2,3
8,0.1,2,4
8,0.1,2,6
8,0.1,3,2
8,0.1,3,4
8,0.1,3,6
8,0.1,4,2
8,0.1,4,3
8,0.1,4,6
8,0.1,6,2
8,0.1,6,3
8,0.1,6,4
9,0.1,2,3
9,0.1,2,4
9,0.1,2,6
9,0.1,3,2
9,0.1,3,4
9,0.1,3,6
9,0.1,4,2
9,0.1,4,3
9,0.1,4,6
9,0.1,6,2
9,0.1,6,3
9,0.1,6,4
10,0.1,3,4
10,0.1,3,6
10,0.1,4,3
10,0.1,4,6
10,0.1,6,3
10,0.1,6,4
11,0.1,3,4
11,0.1,4,3
12,0.1,3,4
12,0.1,4,3
13,0.1,3,4
13,0.1,3,9
13,0.1,4,3
13,0.1,4,9
13,0.1,9,3
13,0.1,9,4
14,0.1,3,4
14,0.1,3,9
14,0.1,3,10
14,0.1,4,3
14,0.1,4,9
14,0.1,4,10
14,0.1,9,3
14,0.1,9,4
14,0.1,9,10
14,0.1,10,3
14,0.1,10,4
14,0.1,10,9
15,0.1,3,4
15,0.1,3,9
15,0.1,3,10
15,0.1,4,3
15,0.1,4,9
15,0.1,4,10
15,0.1,9,3
15,0.1,9,4
15,0.1,9,10
15,0.1,10,3
15,0.1,10,4
15,0.1,10,9
16,0.1,3,4
16,0.1,3,9
16,0.1,3,10
16,0.1,4,3
16,0.1,4,9
16,0.1,4,10
16,0.1,9,3
16,0.1,9,4
16,0.1,9,10
16,0.1,10,3
16,0.1,10,4
16,0.1,10,9
17,0.1,3,4
17,0.1,3,9
17,0.1,3,10
17,0.1,4,3
17,0.1,4,9
17,0.1,4,10
17,0.1,9,3
17,0.1,9,4
17,0.1,9,10
17,0.1,10,3
17,0.1,10,4
