frame,track,u,v
0,0,None,None
1,0,287.98,157.51
2,0,288.06,157.07
3,0,287.99,157.03
4,0,288.12,157.9
5,0,288.32,157.83
6,0,288.03,158.1
7,0,297.8,162.84
8,0,280.7,171.05
9,0,279.82,171.76
10,0,279.23,172.03
11,0,279.07,171.3
12,0,278.85,170.59
13,0,279.77,169.92
14,0,280.28,169.38
15,0,282.94,168.66
16,0,281.38,169.24
17,0,280.84,167.73
18,0,280.75,165.78
19,0,280.9,165.68
20,0,284.83,165.21
21,0,287.22,164.77
22,0,287.65,162.87
23,0,288.21,160.97
24,0,296.35,160.64
25,0,299.99,160.41
26,0,300.75,160.55
27,0,301.05,159.92
28,0,306.89,158.7
29,0,308.89,158.11
30,0,291.83,157.98
31,0,288.87,158.22
32,0,308.06,157.86
33,0,318.57,152.71
34,0,329.59,141.88
35,0,445.5,127.28
36,0,493.74,169.87
37,0,479.97,172.36
38,0,481.03,172.59
39,0,481.22,173.15
40,0,481.93,173.12
41,0,290.72,166.63
42,0,290.54,167.33
43,0,289.92,168.36
44,0,290.01,172.0
45,0,289.92,172.72
46,0,476.57,162.67
47,0,390.08,163.66
48,0,360.66,158.05
