frame,u,v
126,82.03,154.08
126,271.2,180.28
127,79.2,153.88
127,269.44,179.96
128,78.19,156.82
128,269.43,186.16
129,71.6,158.08
129,327.0,176.61
130,69.35,156.49
130,303.94,175.97
131,62.29,155.82
131,301.84,187.51
131,247.31,184.15
132,60.37,156.78
132,247.42,183.49
133,62.15,157.6
133,321.13,187.25
133,266.61,184.43
134,64.3,158.09
134,357.73,174.55
134,269.83,183.73
135,69.11,160.34
135,363.53,172.45
135,274.11,185.52
136,78.98,159.3
136,369.55,172.8
136,274.59,185.07
137,78.8,159.01
137,377.68,174.02
138,353.72,171.49
139,356.13,172.21
140,433.27,171.17
141,412.99,169.65
142,412.54,169.45
142,314.31,188.57
143,414.82,168.81
143,317.93,188.78
144,417.08,168.83
144,321.03,189.11
145,419.92,167.72
145,322.44,188.96
146,422.24,165.08
147,425.65,164.21
147,325.27,184.86
148,427.78,161.17
148,326.73,185.19
149,431.34,161.96
149,329.1,186.11
150,436.43,161.07
