frame,u,v
283,143.23,175.63
283,275.78,167.64
284,121.59,182.82
284,254.36,176.46
285,52.49,177.11
285,195.99,178.6
286,203.65,181.05
287,49.48,178.6
287,204.81,182.15
288,46.58,178.57
289,54.13,178.09
289,237.87,182.64
290,54.51,179.49
290,334.58,169.83
290,245.56,184.49
291,51.16,182.27
291,249.38,183.16
292,50.86,180.45
293,41.34,178.9
293,306.99,166.51
294,298.79,168.5
295,298.07,168.49
296,290.6,166.13
296,124.19,178.32
297,279.56,165.02
297,124.89,187.72
298,100.43,187.87
298,265.13,169.04
299,256.47,169.92
299,337.45,200.71
302,309.79,196.4
303,173.28,159.21
303,309.2,196.02
304,170.25,158.01
306,219.07,163.65
307,1.0,172.73
307,214.73,160.87
308,134.78,143.32
309,406.56,191.96
311,184.83,177.14
311,402.31,187.39
312,208.75,180.9
313,211.79,181.02
317,110.87,169.69
318,111.96,184.74
318,291.9,187.18
320,127.32,185.04
320,290.29,186.61
321,131.09,186.51
