frame,u,v
733,363.81,180.42
734,268.36,165.78
734,369.88,181.75
735,347.3,183.48
735,271.9,164.51
737,352.1,192.89
737,255.05,163.41
738,340.26,190.15
738,274.37,168.11
739,339.69,189.7
739,270.74,166.69
740,343.38,187.83
741,348.28,186.75
742,353.1,186.32
743,355.26,185.49
744,357.12,183.95
745,358.75,183.59
745,261.43,151.81
746,7.84,78.89
747,291.74,180.31
747,1.0,62.4
748,260.82,178.87
748,1.16,37.55
749,261.23,171.58
750,312.0,181.32
751,251.41,181.83
751,323.44,185.18
752,321.19,183.32
753,278.69,179.45
754,271.79,177.66
755,264.75,178.11
756,256.92,178.35
757,205.65,176.47
757,283.2,184.33
758,198.52,175.5
758,277.05,183.6
759,193.88,174.9
759,274.69,184.62
760,189.79,163.64
761,310.11,182.63
761,216.84,169.28
762,402.8,193.55
762,320.21,182.3
762,206.91,169.63
763,221.61,170.02
766,381.72,189.37
767,329.01,185.55
768,331.54,182.29
769,334.05,182.2
