frame,u,v
753,465.35,200.75
754,464.52,201.07
754,1.0,126.07
754,370.15,205.65
755,460.77,200.91
755,1.0,125.23
755,371.08,205.96
756,1.0,119.13
756,360.58,204.87
756,495.81,209.16
757,1.0,117.26
757,452.73,201.14
757,355.93,200.87
758,448.18,201.92
758,354.47,200.96
759,446.75,202.35
759,350.02,202.29
760,1.0,136.49
760,446.45,203.12
760,347.88,202.93
761,446.42,204.12
761,346.3,202.73
762,446.02,205.37
762,344.61,203.79
763,342.42,198.42
763,444.44,201.91
764,341.19,196.51
764,444.73,199.67
765,445.49,199.56
765,340.56,195.73
766,445.77,198.25
766,340.22,195.22
767,445.01,197.87
767,340.39,197.31
768,451.98,199.12
768,342.23,198.27
769,341.32,194.98
769,447.84,198.33
770,348.82,194.87
770,465.05,204.99
771,352.12,206.04
771,466.08,206.55
772,353.37,206.9
772,468.23,208.15
773,353.89,207.22
773,469.8,208.47
774,350.1,205.4
774,468.82,207.84
775,348.16,204.85
