frame,u,v
423,357.1,180.95
423,437.01,177.01
424,360.63,180.56
430,449.66,152.01
432,1.0,185.73
437,424.64,176.0
438,426.5,176.32
439,403.81,170.42
443,453.84,150.96
450,320.46,165.34
451,320.11,164.7
452,319.68,164.51
453,319.03,165.07
454,319.27,164.77
455,322.85,163.78
456,324.34,163.62
457,324.78,163.24
458,324.78,162.87
459,325.04,162.55
460,325.01,162.53
461,325.95,161.7
462,326.61,161.4
463,327.47,161.64
464,328.17,162.0
465,329.69,159.92
466,334.06,160.36
467,336.3,160.51
468,337.43,160.8
469,337.9,160.48
470,338.31,161.15
471,338.63,160.69
472,339.42,160.68
481,358.18,155.35
482,359.94,149.54
488,285.32,162.23
489,292.58,159.05
490,299.06,156.51
521,353.24,146.12
522,352.21,149.54
526,292.09,152.47
527,292.24,151.81
528,293.02,153.27
529,293.33,153.87
530,292.9,153.66
531,292.11,153.91
532,291.4,152.9
533,290.18,155.94
534,289.41,157.04
535,288.75,158.63
