frame,u,v
155,311.73,167.74
156,1.0,92.23
156,311.91,168.9
157,32.98,141.02
157,325.2,168.18
158,36.3,139.75
158,325.28,167.73
159,33.61,141.24
159,335.48,168.68
160,35.81,141.03
160,337.1,168.98
161,34.97,144.24
161,337.27,169.27
162,52.93,145.34
162,349.12,169.09
163,59.57,144.54
163,350.93,168.9
164,63.1,145.65
164,351.93,169.27
165,63.6,145.79
165,360.3,169.31
166,73.9,145.36
166,360.4,169.41
167,74.94,145.85
167,359.6,169.7
168,63.94,145.44
168,358.39,169.61
169,63.87,145.68
169,358.33,169.4
170,65.62,145.64
170,359.8,169.69
171,65.65,146.68
171,360.26,170.07
172,64.46,146.55
172,359.12,169.92
173,65.07,147.07
173,359.77,169.66
174,69.83,147.18
174,361.14,169.6
175,70.82,149.48
175,361.35,171.09
176,88.44,154.56
176,373.41,174.08
177,90.82,155.31
177,373.64,174.88
178,100.83,158.82
178,384.02,175.97
179,101.79,157.72
179,386.02,173.61
