frame,u,v
435,323.98,140.28
435,159.53,150.18
435,247.01,153.94
436,416.14,120.31
436,324.17,140.43
436,159.52,150.21
436,247.61,153.59
437,416.39,119.97
437,324.51,139.85
437,159.09,149.5
437,248.0,152.37
438,416.51,119.51
438,324.63,139.26
438,158.96,148.34
438,248.44,151.0
439,416.48,119.56
439,324.97,139.09
439,158.69,147.23
439,248.56,149.18
440,416.6,119.77
440,324.96,138.87
440,158.45,146.05
440,248.6,148.17
441,416.53,119.77
441,325.44,139.15
441,157.97,145.67
441,248.95,147.91
442,416.58,119.55
442,325.73,139.24
442,157.9,145.61
442,248.89,148.51
443,416.48,119.14
443,325.84,138.74
443,158.5,147.31
443,249.47,149.1
444,416.4,118.85
444,325.99,138.72
444,158.63,149.08
444,249.7,149.36
445,416.72,119.37
445,326.34,139.09
445,158.54,148.23
445,249.93,148.99
446,417.25,119.27
446,326.67,139.04
446,158.69,146.87
446,250.09,146.99
447,417.2,119.53
447,327.12,138.97
