frame,u,v
250,87.72,145.34
251,85.65,148.71
252,85.29,149.9
253,102.62,149.83
254,102.54,149.8
255,102.87,149.75
256,106.19,149.09
257,108.46,149.54
257,253.57,127.62
258,113.36,149.97
258,257.47,128.98
259,118.88,150.5
259,262.15,129.76
260,118.91,150.75
260,272.11,134.75
261,279.05,130.75
261,138.54,155.17
262,277.81,136.57
262,137.58,156.75
263,276.09,137.85
263,136.09,156.85
264,276.12,139.24
264,135.03,156.92
265,276.55,139.62
265,136.93,161.1
266,276.0,139.94
266,136.85,160.48
267,275.86,139.91
267,137.01,160.6
268,275.3,139.91
268,134.98,157.42
269,275.04,140.19
269,134.35,157.53
270,127.26,157.42
270,273.55,141.54
271,125.36,157.66
271,271.62,139.35
272,124.56,158.84
272,268.34,139.62
273,123.82,158.47
273,267.27,139.26
274,110.52,158.2
274,268.52,138.73
275,110.78,158.19
275,268.74,139.0
276,110.53,158.34
276,269.31,140.06
277,110.49,158.43
277,269.75,140.89
