frame,u,v
950,199.92,160.15
951,200.12,158.86
952,200.17,158.23
953,201.87,157.59
954,202.59,156.98
955,202.39,161.26
956,200.66,159.19
957,200.25,158.07
958,199.94,157.63
959,196.3,157.25
960,193.88,156.9
961,191.83,157.03
962,191.06,157.68
963,192.11,157.18
964,197.14,157.32
965,202.42,161.34
966,209.08,159.55
967,211.93,159.32
968,208.02,160.37
969,203.45,160.57
970,201.44,160.65
971,201.5,160.78
972,201.5,160.88
973,201.5,161.06
974,229.24,172.04
975,223.78,169.81
976,217.83,169.22
977,180.22,164.14
978,171.9,159.47
979,169.26,159.39
980,195.42,165.18
981,194.81,164.62
982,168.11,157.45
983,163.56,162.95
984,161.26,163.26
985,154.62,164.91
986,153.25,165.22
987,152.71,165.7
988,152.67,165.48
989,151.51,165.14
990,149.34,164.49
991,144.45,163.84
992,143.19,162.56
993,146.45,162.4
994,148.1,161.75
995,148.41,160.85
996,148.35,160.47
997,148.51,160.06
998,153.3,162.19
