frame,u,v
186,314.51,167.75
187,316.19,167.58
187,275.53,177.19
188,316.77,166.39
189,241.12,166.88
190,276.57,166.07
191,323.7,165.58
191,242.59,166.8
192,326.72,166.92
192,280.04,176.37
193,240.17,169.54
194,269.99,177.91
196,263.13,176.75
197,259.88,173.05
198,271.29,172.36
199,269.62,171.02
200,283.9,170.27
204,330.08,165.44
204,282.0,171.14
205,348.9,165.34
205,281.17,167.7
206,270.05,167.07
207,231.49,165.35
208,222.83,166.19
209,213.84,172.36
210,205.3,170.75
211,234.23,166.25
212,274.45,165.63
213,179.09,164.06
213,273.83,164.85
213,0.72,127.68
214,171.32,162.03
214,1.0,119.58
215,280.9,163.29
215,1.0,115.69
216,273.23,165.04
216,1.0,123.8
217,264.82,165.13
217,1.0,115.22
218,1.0,107.24
219,315.22,164.91
219,9.23,108.88
220,4.2,108.45
221,1.0,104.63
230,95.57,183.4
231,96.06,181.73
232,96.66,182.24
235,134.55,190.47
236,121.08,186.37
