frame,u,v
153,475.92,136.13
153,309.12,165.55
154,1.0,114.41
154,389.05,135.08
154,309.47,166.51
155,1.0,113.57
155,389.98,135.9
155,480.8,134.6
155,309.42,166.54
156,1.0,111.06
156,390.81,133.81
156,483.54,135.69
156,310.63,167.15
157,1.0,112.64
157,392.9,131.94
157,482.74,138.08
157,310.77,167.26
158,1.0,111.85
158,394.22,130.08
158,322.25,167.01
159,1.0,109.64
159,394.75,129.72
159,321.73,165.32
160,1.0,99.7
160,393.01,129.95
160,310.75,167.38
161,391.04,130.74
161,309.94,166.59
162,390.15,131.18
162,309.53,165.82
163,389.63,131.86
163,309.25,165.69
164,389.86,132.15
164,309.39,166.01
165,390.94,132.11
165,309.29,165.93
166,391.62,130.94
166,309.76,167.22
167,391.42,130.97
167,309.72,166.27
168,389.45,131.57
168,309.24,168.94
169,388.5,131.42
169,310.68,169.24
170,388.45,131.44
170,310.14,167.48
171,389.03,128.58
171,309.72,166.39
172,309.8,165.0
