frame,u,v
78,333.69,200.03
79,226.26,190.11
79,331.5,200.45
80,219.21,189.93
80,324.6,200.32
81,212.58,189.8
81,319.31,200.02
82,205.27,189.25
82,313.11,200.57
83,199.7,186.89
83,297.01,200.42
83,396.04,202.03
84,197.06,185.63
84,281.82,199.62
85,193.14,184.82
85,281.44,199.13
86,294.78,199.29
87,296.14,198.92
88,295.25,201.0
88,395.85,202.48
89,188.86,186.22
89,281.79,200.66
90,281.24,200.48
91,282.16,200.08
92,283.35,199.55
93,230.87,189.99
94,230.76,189.12
95,229.14,188.86
96,227.71,188.63
96,283.88,200.15
97,219.85,186.24
97,283.98,194.73
98,170.37,179.39
98,395.65,193.89
99,205.75,180.94
99,276.65,198.52
99,395.54,193.2
100,152.83,174.97
100,280.57,200.11
101,142.2,172.59
101,274.35,198.85
102,134.65,171.53
102,269.61,198.38
103,131.17,170.28
103,267.21,199.15
103,431.18,190.78
104,125.53,169.29
104,264.31,198.05
104,431.5,190.68
