frame,u,v
34,461.02,164.66
35,351.33,158.24
35,262.16,152.54
36,353.42,156.9
36,262.27,156.81
37,357.21,157.45
37,266.02,159.83
38,417.0,157.93
38,359.97,173.84
39,425.43,162.44
39,365.27,174.88
40,428.27,165.52
40,368.87,174.49
41,437.22,165.95
41,372.4,175.72
42,441.33,168.02
42,374.4,175.95
43,441.19,167.06
43,382.22,172.93
44,441.69,165.6
44,379.51,172.77
45,441.24,166.04
46,441.52,167.91
46,384.01,176.52
47,441.29,166.17
47,385.56,177.13
48,441.65,166.21
48,386.34,177.09
49,440.93,165.15
49,381.93,170.11
50,440.4,163.49
50,273.4,161.45
50,382.23,169.82
51,434.21,166.26
51,381.72,176.39
52,383.65,166.13
52,256.42,163.96
53,257.57,164.48
56,389.25,164.01
56,220.38,161.78
56,331.16,175.72
57,391.05,164.22
57,214.28,160.61
57,331.65,175.87
58,331.75,162.58
58,212.55,161.95
59,331.56,164.36
59,216.9,161.38
60,384.42,161.65
