frame,u,v
819,295.82,155.55
820,298.2,155.98
821,298.49,156.04
822,308.37,156.34
823,308.64,156.46
824,308.69,156.0
825,310.94,156.55
826,311.2,156.47
827,325.81,158.38
828,371.15,159.55
829,370.71,164.21
830,337.83,168.76
831,339.74,167.91
832,347.3,165.23
833,349.86,166.8
834,355.41,166.73
835,359.07,168.99
836,360.97,168.17
837,362.04,167.88
838,365.09,168.93
839,372.07,167.91
840,349.61,167.51
841,347.51,168.55
842,335.74,168.87
843,334.19,170.78
844,333.49,164.29
845,333.3,164.91
846,324.12,165.15
847,323.79,164.73
848,322.71,164.71
849,321.0,164.63
850,319.99,165.07
851,320.5,165.94
852,320.9,166.35
853,321.57,165.58
854,311.45,165.46
855,311.43,165.43
856,311.21,165.47
857,319.99,168.83
858,318.85,169.59
859,318.72,170.34
860,311.89,171.93
861,307.9,170.69
862,309.05,169.35
863,309.42,166.92
864,294.6,165.23
865,294.58,164.35
866,294.93,163.17
867,294.0,162.7
