frame,u,v
319,535.63,191.54
319,430.01,193.8
319,371.42,191.8
320,431.52,193.57
320,370.06,191.13
321,432.26,193.35
321,365.47,191.1
322,362.72,191.23
323,361.76,191.26
324,361.43,191.89
325,363.3,192.07
340,389.86,177.0
341,393.67,178.34
342,398.51,177.02
343,401.01,176.25
344,401.79,176.12
345,400.78,176.48
346,394.44,176.57
347,394.31,175.98
348,387.58,177.33
349,385.91,175.25
350,385.14,173.62
352,378.96,173.21
353,381.84,172.75
354,384.37,171.97
355,383.94,170.8
356,404.13,168.67
357,405.14,167.8
358,400.11,172.42
359,400.9,172.16
360,397.92,174.11
361,397.82,174.07
362,392.35,172.53
363,388.41,171.52
364,386.0,170.53
365,384.9,169.49
366,387.63,169.7
367,395.44,168.83
368,396.13,169.61
369,417.8,169.66
370,422.73,169.31
371,429.21,167.75
372,399.03,164.8
373,398.32,162.88
374,394.18,162.36
375,391.17,161.87
376,387.12,162.53
377,379.99,161.77
378,371.35,162.55
