frame,u,v
139,503.31,164.22
139,359.94,173.03
140,100.39,131.82
140,497.84,164.05
140,348.18,170.67
141,84.12,129.57
141,493.51,157.52
141,335.62,169.84
142,73.31,128.47
142,487.73,144.01
142,321.15,165.18
143,65.74,127.75
143,485.4,142.74
143,323.04,165.72
144,58.29,125.54
144,482.94,141.64
144,392.87,136.25
144,322.73,165.71
145,51.36,124.22
145,481.22,140.57
145,390.23,134.77
145,322.61,165.47
146,44.2,122.64
146,388.86,133.47
146,322.63,165.82
147,38.04,120.16
147,481.73,140.32
147,323.8,168.71
148,31.54,118.03
148,385.73,130.94
148,478.92,140.12
148,308.45,165.03
149,18.59,119.38
149,383.11,131.74
149,471.59,140.78
149,308.6,168.04
150,10.65,118.66
150,382.02,131.4
150,469.62,140.54
150,309.67,169.72
151,5.06,117.65
151,382.84,131.49
151,474.61,137.95
151,310.46,169.39
152,0.62,116.14
152,384.11,131.25
152,477.84,136.74
152,309.56,166.84
153,1.0,115.26
