frame,u,v
607,134.34,164.33
608,258.52,199.21
608,168.68,175.9
609,259.14,198.78
609,129.6,165.84
610,258.26,199.31
610,171.38,175.43
611,272.1,198.61
611,172.68,174.68
612,273.16,195.93
612,174.69,176.53
613,273.53,194.62
613,179.05,178.22
614,285.6,194.51
614,181.51,179.23
615,283.86,194.64
615,184.27,180.05
616,284.58,192.45
616,186.67,179.88
617,296.32,194.26
618,295.26,194.16
619,294.45,194.72
620,312.4,192.74
621,295.24,194.2
621,177.37,175.0
622,295.18,194.98
622,169.98,176.08
623,284.27,193.82
623,164.04,175.77
624,284.46,192.74
624,160.71,173.43
625,284.82,191.03
625,158.9,174.41
626,288.04,189.56
626,156.06,173.74
627,285.85,186.59
628,283.54,185.26
629,281.51,185.3
629,190.54,170.65
630,279.99,186.21
630,162.94,170.98
631,278.84,192.81
631,159.53,176.09
632,280.04,192.3
633,282.06,191.99
633,185.89,168.73
634,286.53,192.22
634,185.11,167.26
635,289.25,195.52
