frame,u,v
131,12.88,147.75
131,311.31,169.71
132,12.17,148.11
132,311.1,169.89
133,163.4,132.81
133,11.27,145.51
133,311.64,168.32
134,22.87,145.06
134,310.37,168.1
135,48.12,120.67
135,298.29,167.14
136,7.34,118.85
136,298.24,166.71
137,298.17,167.69
137,9.87,117.3
138,298.38,168.72
138,11.92,117.49
139,11.09,117.06
139,298.29,170.04
140,8.59,115.16
140,298.05,171.26
141,8.01,110.48
141,298.09,171.49
142,7.75,115.18
142,298.42,173.23
143,0.75,112.78
143,298.83,173.91
144,1.0,111.03
144,298.62,173.62
145,15.28,108.97
145,289.61,171.73
146,8.01,107.39
146,290.02,170.71
147,1.0,101.33
147,297.89,170.41
148,1.0,99.41
148,297.72,169.81
149,1.0,95.44
149,297.59,169.5
150,1.0,93.05
150,298.47,169.37
151,1.0,90.61
151,299.9,168.67
152,1.0,93.07
152,300.06,168.04
153,1.0,91.98
153,310.58,168.1
154,1.0,95.36
154,311.26,168.41
