frame,u,v
904,178.59,163.96
905,244.85,167.18
905,178.97,163.22
906,245.22,166.51
906,180.28,163.31
907,245.23,166.51
907,180.88,163.06
908,245.11,167.87
908,181.33,162.97
909,181.93,163.28
910,182.07,163.3
911,182.51,163.38
912,182.98,164.42
913,183.49,164.08
914,183.92,162.37
915,183.38,161.82
916,182.85,161.37
917,182.34,161.5
918,182.26,161.45
919,182.4,161.27
920,182.05,161.57
921,182.6,161.94
922,182.97,166.63
923,183.29,164.62
924,219.33,163.77
925,186.87,162.99
926,187.57,163.4
927,187.82,162.89
928,188.45,162.04
929,219.88,161.57
930,249.61,161.43
931,220.24,161.28
932,220.02,161.38
933,219.88,161.03
934,189.84,159.55
935,189.76,157.86
936,189.93,156.09
937,190.26,154.72
938,190.64,154.07
939,191.2,153.74
940,191.36,153.17
941,191.98,152.81
942,192.21,152.99
943,192.73,153.01
944,193.79,153.67
945,194.13,154.27
946,197.89,155.92
947,199.61,157.0
948,200.33,157.13
