frame,u,v
174,314.71,168.21
174,397.26,124.65
175,402.72,122.93
175,323.84,169.67
176,323.91,169.48
176,410.29,159.65
177,412.0,160.28
177,335.09,170.4
178,348.26,170.36
179,348.56,170.12
180,360.62,171.78
181,362.16,174.44
182,454.73,166.9
182,361.93,175.34
183,451.77,159.68
183,359.19,173.58
184,447.88,153.14
184,359.73,173.29
185,443.29,122.67
185,358.64,172.75
186,440.1,123.03
186,349.34,172.84
187,347.09,170.67
187,436.71,146.42
188,347.95,172.03
188,433.51,147.09
189,429.91,118.98
189,346.93,172.21
190,347.65,172.53
190,426.76,157.36
191,335.02,169.34
191,424.3,158.7
192,336.24,170.38
192,423.09,158.73
193,336.65,170.28
193,423.06,156.77
194,336.94,170.72
194,423.75,156.3
195,322.14,169.58
195,425.67,147.39
196,322.78,169.59
196,425.81,144.79
197,348.09,169.88
198,336.75,170.77
199,337.09,171.75
200,337.59,171.24
201,346.23,170.94
202,346.72,170.74
203,347.56,170.82
