frame,u,v
770,280.78,130.88
770,412.27,176.29
772,364.84,151.81
772,288.81,128.05
773,365.55,151.29
773,418.72,176.45
774,292.78,127.82
774,419.55,175.73
775,293.56,127.31
775,420.6,176.17
776,294.69,125.55
776,421.45,174.9
782,283.51,126.23
783,283.47,125.78
784,285.25,127.43
784,420.45,173.27
789,268.17,127.3
790,268.32,125.82
834,297.0,143.11
835,295.83,143.33
836,295.54,144.19
837,296.57,143.75
838,296.78,145.27
839,297.26,145.86
840,297.23,145.93
851,321.53,146.36
852,322.51,147.27
853,325.55,149.06
854,331.8,151.96
855,335.84,152.41
856,338.12,151.6
857,338.98,151.79
858,339.09,151.27
859,339.71,152.2
860,340.84,153.61
861,340.7,153.67
862,340.0,151.54
863,340.41,150.91
864,341.06,150.49
865,341.49,150.32
866,342.02,151.26
867,342.06,151.88
868,341.93,152.57
869,340.94,153.91
870,339.25,154.73
871,338.22,154.63
872,337.77,154.53
873,339.35,153.97
874,338.73,153.59
