frame,u,v
376,289.88,189.14
377,293.55,188.65
378,296.17,189.78
379,297.61,190.58
380,434.24,182.03
380,297.19,190.3
381,435.17,182.05
381,297.67,189.98
382,300.08,187.93
383,301.94,185.51
384,306.03,186.79
385,311.15,186.32
386,312.69,187.74
387,311.16,188.71
388,309.33,195.55
389,306.11,193.67
390,305.53,193.62
391,307.83,193.7
392,308.05,198.17
393,308.64,198.97
394,312.37,199.25
395,313.91,200.79
396,314.09,202.18
397,309.8,201.21
398,306.51,200.88
399,305.99,200.7
400,306.04,200.29
401,307.73,200.33
402,311.06,200.39
403,312.87,199.33
404,313.08,199.67
405,310.76,202.0
406,309.04,201.72
407,307.33,200.53
408,300.1,201.1
409,294.92,196.33
410,291.3,193.8
411,289.21,191.49
412,289.34,188.77
413,290.56,188.44
414,290.82,187.99
415,291.36,187.83
416,292.97,187.46
417,294.47,186.55
418,294.38,185.68
419,293.28,187.07
420,285.56,190.87
421,280.54,191.67
422,240.96,189.61
