frame,u,v
552,362.46,168.25
552,303.51,152.57
553,365.95,167.1
553,306.42,154.73
554,370.83,166.32
554,311.09,155.76
555,367.82,169.93
555,314.27,155.59
556,318.52,155.32
557,381.53,168.15
557,319.68,154.07
558,382.77,169.75
558,321.2,153.84
559,383.23,169.75
559,321.31,151.88
560,385.86,167.15
560,323.05,153.51
561,325.73,151.33
562,396.07,168.14
562,329.3,150.72
563,398.28,167.71
563,333.74,151.68
564,336.44,150.82
565,327.36,149.52
566,323.33,148.27
566,425.74,170.76
567,321.07,146.73
567,423.95,172.68
568,318.05,147.37
568,419.29,173.22
569,313.58,146.6
569,416.29,172.0
570,313.25,146.71
570,413.71,171.42
571,301.18,142.53
571,411.96,172.28
572,372.16,157.89
572,296.25,142.55
573,395.88,172.1
573,291.18,144.14
574,395.01,172.82
574,287.12,145.09
575,396.48,171.15
575,280.28,144.85
576,436.68,172.88
577,433.42,172.86
580,242.1,134.72
581,240.13,135.42
586,409.47,173.19
