frame,u,v
521,237.85,176.46
522,247.89,176.92
522,165.39,132.95
523,164.9,135.81
525,273.0,169.5
526,298.26,160.16
527,293.17,156.52
527,478.1,124.49
528,480.16,121.08
529,229.89,118.77
530,232.67,116.58
530,320.69,153.88
531,237.46,115.87
532,242.03,121.95
533,244.58,123.85
533,336.65,159.09
534,337.74,159.77
535,557.03,118.83
535,348.01,155.07
536,563.37,121.48
536,348.77,157.83
537,565.22,120.32
538,567.86,120.13
539,575.91,132.32
539,359.94,160.92
540,582.67,134.21
540,360.43,161.39
541,587.02,135.55
543,253.46,130.94
544,384.23,165.02
544,254.35,131.31
545,385.41,168.62
545,253.21,133.73
546,392.15,170.04
546,254.1,135.04
547,394.68,172.03
547,254.27,137.64
548,395.33,171.98
548,254.05,138.86
549,395.34,170.87
549,252.36,135.68
550,383.09,168.44
550,243.9,134.55
551,384.3,169.35
551,241.08,134.09
552,386.22,169.81
552,241.41,134.0
553,395.71,169.63
553,240.95,134.28
