frame,u,v
323,119.19,177.47
323,335.05,186.85
324,106.26,175.81
324,317.35,186.68
325,98.11,178.49
325,322.71,186.6
326,94.08,186.47
326,332.91,190.23
327,94.95,187.59
328,93.92,184.17
328,348.7,191.77
329,539.78,203.03
329,90.36,185.72
329,349.37,188.49
330,85.08,175.68
330,348.18,179.59
331,121.08,164.31
332,125.09,165.07
333,126.57,162.63
333,393.66,186.25
334,124.48,169.55
334,400.47,190.51
335,200.03,209.17
335,119.03,192.34
336,67.14,176.98
336,197.77,211.48
336,356.75,196.06
337,65.25,175.05
337,357.9,197.6
338,66.01,180.71
338,358.18,198.24
339,69.72,180.55
339,374.48,199.92
340,80.53,179.67
340,384.23,201.71
341,88.05,182.3
341,391.16,203.6
342,93.53,189.02
342,396.53,204.32
343,85.0,182.36
343,401.82,204.09
344,82.28,179.66
344,367.13,198.97
345,345.17,191.73
346,349.04,192.41
347,349.88,192.55
349,321.87,187.13
350,317.68,187.36
351,311.74,186.94
