frame,u,v
698,416.37,187.32
699,280.61,180.08
699,3.4,138.59
700,272.47,177.35
700,0.95,133.81
701,266.35,178.49
702,260.4,175.94
703,256.37,174.88
704,259.72,173.02
705,257.03,173.45
706,271.39,173.37
707,273.91,172.97
708,271.59,168.03
708,387.66,176.1
709,287.35,166.7
709,1.0,118.72
709,391.44,177.76
710,284.17,162.0
710,1.0,146.99
711,304.26,162.69
712,299.36,158.83
713,274.37,164.37
714,266.18,163.74
715,253.28,149.49
715,309.95,162.48
716,307.38,162.94
717,291.15,156.88
718,290.71,149.41
719,289.49,146.61
720,293.6,149.44
721,296.68,150.5
722,281.13,144.53
722,413.49,191.76
723,260.25,136.29
723,328.08,186.71
724,297.22,185.14
725,1.0,75.78
725,273.53,179.87
726,279.66,179.06
726,402.3,190.09
727,402.75,194.59
727,280.05,179.45
728,395.66,195.22
728,276.18,180.85
729,273.21,179.96
730,252.06,177.11
731,250.12,173.51
732,254.7,170.6
733,326.88,182.71
