frame,track,u,v
0,0,None,None
0,1,None,None
1,0,244.85,167.18
1,1,None,None
2,0,245.22,166.51
2,1,None,None
3,0,245.23,166.51
3,1,None,None
4,0,245.11,167.87
4,1,None,None
5,0,None,None
5,1,None,None
6,0,None,None
6,1,None,None
7,0,None,None
7,1,None,None
8,0,None,None
8,1,None,None
9,0,None,None
9,1,None,None
10,0,None,None
10,1,None,None
11,0,None,None
11,1,None,None
12,0,None,None
12,1,None,None
13,0,None,None
13,1,182.34,161.5
14,0,None,None
14,1,182.26,161.45
15,0,None,None
15,1,182.4,161.27
16,0,None,None
16,1,182.05,161.57
17,0,None,None
17,1,182.6,161.94
18,0,None,None
18,1,182.97,166.63
19,0,None,None
19,1,183.29,164.62
20,0,None,None
20,1,219.33,163.77
21,0,None,None
21,1,186.87,162.99
22,0,None,None
22,1,187.57,163.4
23,0,None,None
23,1,187.82,162.89
24,0,None,None
24,1,188.45,162.04
25,0,None,None
25,1,219.88,161.57
26,0,None,None
26,1,249.61,161.43
27,0,None,None
27,1,220.24,161.28
28,0,None,None
28,1,220.02,161.38
29,0,None,None
29,1,219.88,161.03
30,0,None,None
30,1,189.84,159.55
31,0,None,None
31,1,189.76,157.86
32,0,None,None
32,1,189.93,156.09
33,0,None,None
33,1,190.26,154.72
34,0,None,None
34,1,190.64,154.07
35,0,None,None
35,1,191.2,153.74
36,0,None,None
36,1,191.36,153.17
37,0,None,None
37,1,191.98,152.81
38,0,None,None
38,1,192.21,152.99
39,0,None,None
39,1,192.73,153.01
40,0,None,None
40,1,193.79,153.67
41,0,None,None
41,1,194.13,154.27
42,0,None,None
42,1,197.89,155.92
43,0,None,None
43,1,199.61,157.0
44,0,None,None
44,1,200.33,157.13
