frame,track,u,v
0,0,None,None
0,1,306.8,184.25
1,0,None,None
1,1,308.77,184.43
2,0,None,None
2,1,308.73,184.11
3,0,None,None
3,1,307.94,185.51
4,0,None,None
4,1,308.56,185.99
5,0,307.16,185.92
5,1,1.0,228.22
6,0,322.68,190.54
6,1,1.0,229.83
7,0,303.87,190.28
7,1,1.0,233.88
8,0,389.18,103.01
8,1,285.93,189.51
9,0,None,None
9,1,281.6,185.84
10,0,None,None
10,1,285.94,185.91
11,0,None,None
11,1,311.18,190.94
12,0,477.63,206.56
12,1,311.29,191.97
13,0,None,None
13,1,321.38,191.76
14,0,None,None
14,1,336.06,192.67
15,0,None,None
15,1,347.66,195.99
16,0,None,None
16,1,430.25,202.46
17,0,None,None
17,1,433.64,201.2
18,0,None,None
18,1,439.57,198.8
19,0,None,None
19,1,455.75,198.06
20,0,None,None
20,1,328.74,186.43
21,0,None,None
21,1,332.2,188.35
22,0,None,None
22,1,316.18,184.8
23,0,None,None
23,1,321.77,187.6
24,0,None,None
24,1,323.99,183.17
25,0,None,None
25,1,324.58,179.09
26,0,None,None
26,1,323.89,177.84
27,0,None,None
27,1,322.28,176.45
28,0,None,None
28,1,318.21,176.21
29,0,None,None
29,1,314.12,176.68
30,0,None,None
30,1,264.42,173.1
31,0,None,None
31,1,267.3,174.17
32,0,None,None
32,1,262.48,175.32
33,0,None,None
33,1,289.85,183.45
34,0,None,None
34,1,286.43,184.43
35,0,None,None
35,1,284.42,184.23
36,0,None,None
36,1,284.59,182.85
37,0,None,None
37,1,287.15,183.75
38,0,None,None
38,1,285.65,175.91
39,0,None,None
39,1,290.15,181.7
40,0,None,None
40,1,284.65,182.92
41,0,None,None
41,1,275.7,181.71
42,0,None,None
42,1,257.68,177.59
43,0,None,None
43,1,330.33,185.09
