frame,u,v
3,315.49,180.82
4,319.47,184.43
5,324.32,182.8
6,327.78,183.62
7,327.4,182.15
8,337.11,181.74
10,316.26,182.29
11,316.24,184.36
12,314.96,186.26
13,311.06,186.85
14,308.15,184.35
15,311.04,183.37
16,313.24,184.15
17,313.81,183.72
18,314.77,184.15
19,318.49,184.33
20,316.9,184.9
21,319.6,187.02
22,319.39,186.19
23,319.46,186.49
25,297.22,182.52
26,298.02,185.0
27,293.29,182.88
28,291.74,183.12
29,291.61,184.09
30,289.81,186.44
31,287.45,184.72
32,288.58,184.8
33,290.38,185.58
34,295.31,185.85
35,295.61,186.08
37,321.14,188.48
38,308.94,190.26
39,306.5,187.2
40,306.2,186.45
41,304.26,186.0
43,259.01,178.48
44,258.59,179.51
45,235.4,175.0
46,236.92,176.54
47,244.12,177.16
48,246.57,178.46
49,297.36,180.94
50,321.24,187.2
50,52.18,95.56
51,322.85,187.06
51,60.28,104.99
52,307.13,179.99
53,292.29,179.28
54,294.48,185.9
54,151.72,104.97
55,300.29,187.19
55,162.94,118.41
56,321.26,191.32
56,173.84,115.94
57,320.58,191.24
57,201.9,113.23
58,346.71,193.04
58,218.78,116.16
59,347.34,188.75
59,223.95,117.1
60,343.25,182.74
69,257.29,139.48
70,256.65,139.44
72,280.76,142.58
74,233.31,161.26
75,232.05,168.73
76,277.25,165.69
77,250.75,175.44
78,255.01,176.45
81,272.11,174.66
85,307.04,186.1
86,310.32,187.65
87,313.32,187.79
88,321.32,187.38
89,327.12,187.4
90,309.68,186.9
91,309.53,188.79
92,298.09,189.11
93,298.68,189.3
94,280.0,181.19
95,280.1,179.75
96,281.34,179.31
97,317.13,188.26
98,321.81,188.11
99,324.12,187.15
100,326.66,187.55
101,328.93,186.67
102,342.18,188.96
103,342.58,189.8
104,342.65,187.63
105,342.91,186.41
106,344.79,185.37
107,346.89,188.44
108,348.1,190.26
109,355.02,183.68
110,361.96,180.89
111,364.08,181.51
112,364.75,183.86
113,362.41,182.76
114,361.57,183.09
115,362.88,183.1
126,290.53,171.85
127,357.81,187.29
128,304.79,184.57
129,303.25,189.17
130,299.86,188.34
131,293.91,187.32
132,290.56,187.27
133,290.19,182.24
134,349.28,184.8
135,309.8,182.29
136,309.66,183.47
137,318.69,181.28
139,289.04,131.25
140,288.95,134.44
141,280.82,175.62
142,277.73,173.3
143,276.7,131.13
144,276.41,172.54
145,274.9,137.28
146,286.79,165.36
146,377.36,146.94
157,360.51,152.62
158,317.62,155.4
159,323.55,157.86
160,332.27,162.07
161,321.51,163.59
162,312.55,164.1
163,302.42,163.2
164,275.41,165.39
167,305.96,164.26
168,311.76,164.59
169,315.25,164.74
170,318.08,165.44
171,319.2,165.98
175,286.12,164.91
177,238.82,172.82
178,222.11,172.33
179,222.98,171.59
179,316.11,165.7
180,303.47,163.93
180,226.83,172.19
181,304.69,163.19
181,228.97,172.81
182,306.02,162.5
182,230.18,172.34
183,308.76,163.87
184,310.37,165.81
185,312.07,166.69
186,314.51,167.75
187,316.19,167.58
187,275.53,177.19
188,316.77,166.39
189,241.12,166.88
190,276.57,166.07
191,323.7,165.58
191,242.59,166.8
192,326.72,166.92
192,280.04,176.37
193,240.17,169.54
194,269.99,177.91
196,263.13,176.75
197,259.88,173.05
198,271.29,172.36
199,269.62,171.02
200,283.9,170.27
