frame,u,v
4,320.96,166.32
4,256.06,160.13
5,321.21,167.64
5,254.64,161.62
6,321.1,167.93
6,251.7,160.57
7,306.26,165.62
7,250.44,160.5
8,304.96,167.26
8,248.29,160.88
9,305.61,166.66
9,249.52,160.57
10,305.05,167.38
10,248.82,160.07
11,304.82,167.58
11,248.91,160.03
12,304.66,167.51
12,248.27,159.49
13,307.58,169.31
13,247.22,160.94
14,295.95,166.34
14,244.83,160.03
15,297.29,164.07
15,246.4,159.41
16,297.09,163.88
16,246.48,158.82
17,294.42,164.75
17,243.9,158.6
18,243.86,158.71
18,293.23,164.43
19,244.24,159.0
19,293.09,165.29
20,244.97,158.62
20,293.34,165.77
21,244.95,158.0
21,293.64,165.97
22,245.32,157.86
22,293.9,166.13
23,247.25,160.13
24,247.36,159.76
25,247.96,161.0
26,247.98,160.7
27,250.28,159.77
28,251.38,159.74
29,253.96,159.43
30,255.61,159.88
31,258.04,159.56
32,262.55,160.62
33,263.02,160.44
34,261.16,161.0
35,259.52,162.42
36,259.93,163.12
37,260.18,162.93
38,260.66,163.03
40,23.65,136.61
41,17.47,137.18
42,1.0,139.09
43,1.0,139.14
44,7.76,139.86
48,264.28,163.78
49,264.69,163.49
50,275.21,162.47
51,280.17,157.73
52,294.55,159.16
53,297.43,161.51
54,306.74,160.66
54,73.79,141.74
55,306.82,158.92
55,73.98,141.27
56,306.99,158.11
56,85.17,140.79
57,305.54,154.87
57,85.25,140.84
58,306.31,153.47
58,85.03,140.02
59,306.19,153.03
59,102.5,145.65
60,320.26,155.36
60,103.17,145.77
61,320.95,157.17
61,111.13,148.17
62,320.76,155.56
62,112.74,149.4
63,318.59,157.51
63,110.87,150.38
64,319.29,158.35
64,110.54,150.72
65,321.33,158.25
65,108.91,150.55
66,321.05,158.13
66,108.49,150.75
67,320.0,157.73
67,108.88,150.42
68,320.02,157.19
68,110.83,150.67
69,319.55,157.38
69,111.07,150.61
70,318.49,158.27
70,110.16,151.23
71,318.2,157.75
71,110.74,151.04
72,317.61,157.29
72,109.98,150.93
73,109.63,151.06
73,316.9,156.54
74,105.07,150.99
74,315.21,157.32
75,314.16,157.31
75,105.26,151.07
76,314.91,157.15
76,105.49,151.12
77,316.52,159.54
77,110.66,150.91
78,316.8,160.67
78,112.28,150.89
78,361.7,171.69
79,317.46,161.02
79,115.35,151.92
79,361.81,171.92
80,317.49,161.71
80,115.39,152.05
81,315.32,161.58
81,112.95,153.34
82,301.39,160.16
82,101.06,150.28
82,361.55,176.6
83,300.77,159.88
83,100.68,152.45
83,361.46,176.88
84,300.1,158.28
84,101.12,151.81
84,361.31,177.14
85,299.9,158.02
85,102.12,151.66
85,361.51,176.92
86,299.78,157.88
86,103.1,152.52
86,361.56,176.86
87,294.91,156.1
87,99.98,152.66
88,292.82,157.32
88,97.46,152.15
89,291.24,156.33
89,96.47,152.18
90,288.83,157.78
90,348.34,171.24
90,95.89,151.55
91,287.87,157.36
91,348.91,171.39
91,92.38,150.77
92,284.35,153.17
92,90.02,150.52
93,282.36,151.03
93,88.2,149.92
94,280.75,150.75
94,348.45,171.5
94,86.11,149.97
95,275.9,150.03
95,348.62,171.34
95,87.21,149.67
96,270.73,149.42
96,349.03,171.21
96,85.37,148.95
97,267.72,148.92
97,336.16,171.39
97,71.66,148.76
98,266.3,148.93
98,336.78,171.98
98,71.11,148.86
99,264.8,148.53
99,337.14,172.1
99,70.83,148.97
100,262.55,151.34
100,336.28,171.77
100,67.35,148.91
101,261.36,153.42
101,336.08,171.98
101,64.64,148.28
102,260.72,153.98
102,336.18,171.77
102,65.17,148.38
103,260.62,154.69
103,336.22,171.67
103,65.18,148.43
104,256.0,148.16
104,336.59,171.79
104,63.16,148.0
105,252.72,145.14
105,61.1,148.16
105,335.82,171.35
106,249.16,147.58
106,336.03,171.41
106,58.71,148.33
107,335.86,170.76
107,54.31,148.37
108,241.01,146.68
108,51.51,148.46
108,335.98,170.45
109,240.14,147.71
109,51.72,147.98
109,335.89,169.95
110,239.32,146.19
110,335.83,170.46
110,52.79,148.43
111,235.57,145.29
111,335.82,170.34
111,48.71,147.5
112,232.17,144.48
112,46.21,147.69
112,335.91,170.37
113,228.31,142.66
113,41.12,147.16
113,335.87,169.95
114,223.71,141.41
114,36.85,146.62
114,335.96,170.03
115,220.04,142.8
115,33.92,147.0
115,323.77,169.68
116,216.32,143.83
116,28.41,147.45
116,323.52,169.6
117,25.68,146.09
